loss,val_loss,accuracy,val_accuracy
0.061691526159289405,0.0005314829759299755,0.9863492063492063,1.0
0.018297729553505507,1.9033268472412601e-06,0.9976190476190476,1.0
0.0003957118605165029,1.9728063307411503e-06,0.9996825396825397,1.0
0.014756987435744605,0.003928873222321272,0.9987301587301587,0.9985185185185185
0.00647816619238727,1.9727285689441487e-06,0.9990476190476191,1.0
0.0028289216216999266,5.165783250049572e-07,0.9996825396825397,1.0
4.549088543561039e-05,3.0205455914256163e-07,1.0,1.0
5.2187044563516065e-05,1.6441059358385246e-07,1.0,1.0
3.1416072901038205e-05,1.4940083303827123e-07,1.0,1.0
0.00126780096541462,8.55645723163434e-08,0.9996825396825397,1.0
0.00042347110194208924,7.594064044269544e-09,0.9998412698412699,1.0
0.0008761903516966697,8.83031425757963e-10,0.9998412698412699,1.0
3.996598184289588e-06,1.147940853485352e-09,1.0,1.0
0.02200584103766228,1.598284526949101e-08,0.9988888888888889,1.0
0.00020058638157346913,1.2627332957038107e-08,0.9998412698412699,1.0
4.506181392551908e-06,1.0684669149441106e-08,1.0,1.0
1.6507411343472507e-06,1.0419760165802927e-08,1.0,1.0
